Count,Zip Code,Latitude,Longitude,Tenure Months,Monthly Charges,Total Charges,Churn Value,Churn Score,CLTV
1,91744,34.031441,-117.936436,2,44.6,80.55,1,99,4884
1,91746,34.038983,-117.991372,3,41.15,132.2,1,96,2314
1,91748,33.976753,-117.897367,13,106.9,1364.3,1,84,2494
1,91762,34.057256,-117.667677,59,19.35,1099.6,1,83,5084
1,91764,34.074087,-117.605618,16,94.45,1511.2,1,81,3810
1,91766,34.042286,-117.756106,1,24.8,24.8,1,73,5087
1,91768,34.067932,-117.785168,1,70.6,70.6,1,69,3338
1,91770,34.065108,-118.082791,5,85.4,401.1,1,80,3676
1,91773,34.102119,-117.815532,52,105.05,5624.85,1,65,4839
1,91791,34.061634,-117.893169,18,95.15,1779.95,1,68,4643
1,91803,34.074736,-118.145959,1,70.0,70.0,1,97,4094
1,91901,32.827184,-116.703729,8,74.5,606.55,1,80,4345
1,91902,32.67117,-117.00232,10,44.85,435.4,1,83,4061
1,91905,32.677097,-116.304991,24,76.1,1712.7,1,98,2018
1,91931,32.857946,-116.561917,1,73.6,73.6,1,80,2565
1,91934,32.649787,-116.2237,4,95.45,396.1,1,85,3677
1,91948,32.830852,-116.444601,32,74.9,2303.35,1,69,4105
1,92004,33.200369,-116.192313,5,80.6,415.55,1,69,5715
1,92009,33.098018,-117.258203,38,80.3,3058.65,1,81,2071
1,92014,32.948262,-117.256086,24,93.15,2231.05,1,73,2212
1,92020,32.79697,-116.969082,54,82.45,4350.1,1,83,4149
1,92029,33.079834,-117.134275,2,70.35,139.05,1,73,2671
1,92057,33.254497,-117.285879,7,73.85,511.25,1,67,2473
1,92059,33.384345,-117.072619,2,80.6,155.8,1,92,2683
1,92060,33.309852,-116.823091,68,75.8,5293.95,1,81,4903
1,92061,33.313828,-116.940501,43,104.6,4759.85,1,91,5250
1,92066,33.215251,-116.53633,63,103.4,6603.0,1,98,4352
1,92082,33.25283,-116.986079,2,90.4,168.2,1,76,4157
1,92103,32.747484,-117.166877,4,84.8,371.9,1,73,4939
1,92104,32.741499,-117.127409,21,41.9,840.1,1,97,4778
1,92105,32.741859,-117.090353,10,80.25,846.0,1,85,3598
1,92108,32.774046,-117.142454,27,30.75,805.1,1,91,2927
1,92116,32.765299,-117.122565,5,96.5,492.55,1,98,5383
1,92122,32.85723,-117.209774,2,85.65,181.5,1,73,3878
1,92129,32.961064,-117.134917,25,104.95,2566.5,1,66,3642
1,92154,32.578103,-117.012975,1,50.65,50.65,1,76,2431
1,92201,33.713891,-116.237257,1,90.85,90.85,1,81,3424
1,92210,33.537646,-116.291089,11,19.95,214.75,1,80,5888
1,92211,33.762759,-116.324817,55,85.45,4874.7,1,100,5502
1,92240,33.948558,-116.516976,34,73.95,2524.45,1,94,5795
1,92250,32.811001,-115.152865,69,99.45,7007.6,1,80,4020
1,92257,33.345825,-115.596574,1,19.9,19.9,1,92,3351
1,92258,33.906496,-116.569499,1,19.6,19.6,1,95,3448
1,92259,32.698964,-115.886656,3,81.35,233.7,1,73,2818
1,92273,32.790282,-115.689559,22,83.3,1845.9,1,88,3804
1,92274,33.53604,-116.119222,1,75.3,75.3,1,67,4902
1,92301,34.667815,-117.536183,61,19.4,1182.55,1,82,4221
1,92307,34.55082,-117.122396,12,45.4,518.9,1,68,2887
1,92325,34.248061,-117.29028,60,105.9,6396.45,1,84,4105
1,92327,34.875144,-116.821698,1,69.55,69.55,1,73,2792
1,92338,34.702766,-116.093376,28,81.05,2227.1,1,98,5201
1,92356,34.508417,-116.856103,4,101.15,385.9,1,84,4417
1,92358,34.238162,-117.534306,7,99.8,673.25,1,98,2031
1,92371,34.441123,-117.537886,13,55.95,734.35,1,91,4498
1,92373,34.003243,-117.138286,1,55.0,55.0,1,71,4877
1,92377,34.156758,-117.404686,1,74.7,74.7,1,80,5980
1,92382,34.186211,-117.07683,24,80.25,1861.5,1,77,4418
1,92389,35.824572,-116.274755,5,96.1,453.4,1,66,4192
1,92392,34.486835,-117.362274,15,69.0,994.8,1,73,5671
1,92397,34.358321,-117.618263,48,45.3,2145.0,1,65,4926
1,92401,34.105935,-117.2914,8,83.55,680.05,1,65,2879
1,92410,34.106922,-117.297553,1,74.35,74.35,1,93,2814
1,92503,33.890046,-117.455583,2,74.4,139.4,1,77,4263
1,92506,33.930931,-117.361788,22,43.75,903.6,1,66,3099
1,92509,34.004379,-117.447864,5,28.45,131.05,1,89,4099
1,92518,33.888323,-117.277533,12,99.7,1238.45,1,76,2538
1,92544,33.644585,-116.871544,20,94.1,1782.4,1,87,2666
1,92548,33.761894,-117.120868,2,94.2,167.5,1,72,3715
1,92549,33.755039,-116.741796,6,80.5,502.85,1,98,5032
1,92557,33.970661,-117.255039,5,74.35,334.8,1,82,5273
1,92563,33.581045,-117.14719,40,104.8,4131.95,1,88,3492
1,92571,33.828289,-117.201666,27,75.2,1929.35,1,99,4517
1,92586,33.707483,-117.200006,23,75.6,1758.6,1,81,2115
1,92587,33.69887,-117.25071,34,100.05,3480.0,1,72,2568
1,92612,33.643095,-117.810896,1,85.0,85.0,1,80,5679
1,92630,33.644849,-117.684254,10,86.05,834.1,1,85,2966
1,92646,33.666301,-117.969501,13,45.55,597.0,1,74,4856
1,92648,33.679659,-118.016195,39,86.3,3266.0,1,98,3364
1,92661,33.601309,-117.902304,32,80.35,2596.15,1,92,5974
1,92701,33.748478,-117.858918,35,100.25,3527.6,1,72,2744
1,92707,33.714829,-117.872941,56,100.3,5614.45,1,67,5170
1,92805,33.830209,-117.906099,12,19.0,233.55,1,72,3535
1,92806,33.83796,-117.870494,1,75.3,75.3,1,87,3244
1,92807,33.848733,-117.788357,4,89.2,346.2,1,74,5808
1,92823,33.924143,-117.79387,1,85.7,85.7,1,66,4880
1,92860,33.925833,-117.559639,12,61.65,713.75,1,67,5670
1,92887,33.884073,-117.732197,65,105.25,6786.4,1,91,4196
1,93001,34.360261,-119.306383,9,29.95,248.95,1,83,2573
1,93003,34.279221,-119.221437,9,65.0,663.05,1,76,3983
1,93041,34.110124,-119.100972,7,20.0,137.6,1,100,4479
1,93067,34.420998,-119.60137,49,90.05,4547.25,1,96,5059
1,93101,34.419203,-119.710008,43,110.75,4687.9,1,65,2728
1,93110,34.437945,-119.77191,65,105.5,6985.65,1,89,5720
1,93201,35.869626,-119.498771,56,104.55,5794.65,1,91,6268
1,93202,36.315979,-119.710852,10,85.25,855.3,1,75,3573
1,93204,35.916943,-120.129921,43,56.15,2499.3,1,65,2152
1,93205,35.523991,-118.400432,1,89.55,89.55,1,99,4996
1,93208,36.057458,-118.591951,20,94.55,1899.65,1,84,5604
1,93210,36.186867,-120.387793,1,45.7,45.7,1,95,2295
1,93215,35.772244,-119.209689,2,89.5,161.5,1,80,2065
1,93219,35.858054,-119.305858,3,69.55,222.3,1,87,2876
1,93221,36.301689,-119.018233,1,74.6,74.6,1,94,3860
1,93224,35.215731,-119.57013,8,19.65,164.3,1,83,5432
1,93234,36.217864,-120.080117,2,19.85,35.9,1,68,2362
1,93238,35.852892,-118.397782,4,24.25,96.05,1,93,2038
1,93244,36.462671,-118.997291,2,69.65,145.15,1,80,2323
1,93247,36.205465,-119.085807,4,45.65,191.05,1,78,2864
1,93252,34.737031,-119.460557,1,75.05,75.05,1,78,4838
1,93255,35.676978,-118.101378,52,49.15,2550.9,1,90,5597
1,93260,35.861928,-118.636698,2,34.7,62.25,1,65,3146
1,93263,35.490705,-119.286833,1,80.0,80.0,1,88,2046
1,93272,36.047414,-119.344304,2,49.25,91.1,1,89,3475
1,93285,35.690535,-118.552784,3,75.1,270.7,1,69,4965
1,93292,36.37559,-119.211689,3,50.15,168.15,1,86,3273
1,93311,35.16207,-119.194488,25,79.85,2015.35,1,85,4535
1,93405,35.236549,-120.727344,1,19.55,19.55,1,66,3556
1,93436,34.601055,-120.382917,4,85.95,381.3,1,74,5640
1,93437,34.757477,-120.550507,3,45.35,141.5,1,67,2450
1,93440,34.758699,-120.275839,33,94.5,3105.55,1,96,4333
1,93445,35.059695,-120.604741,30,91.7,2758.15,1,97,2482
1,93449,35.165668,-120.655842,45,87.25,3941.7,1,73,5269
1,93501,35.097323,-118.171288,10,98.55,1008.55,1,80,3658
1,93528,35.363339,-117.637641,20,98.55,1842.8,1,92,5444
1,93531,35.214982,-118.59049,15,85.9,1269.55,1,96,3579
1,93535,34.712708,-117.889656,22,89.25,1907.85,1,82,3161
1,93536,34.741406,-118.38111,3,70.3,208.85,1,66,3038
1,93552,34.557711,-118.029441,15,93.35,1444.65,1,77,5264
1,93553,34.445239,-117.894868,1,19.9,19.9,1,100,4248
1,93554,35.405722,-117.773354,5,88.9,454.15,1,79,4356
1,93555,35.603913,-117.67828,33,95.8,3036.75,1,76,4161
1,93562,35.74837,-117.384948,2,82.0,184.65,1,97,3051
1,93591,34.598221,-117.79593,2,45.35,89.5,1,81,3478
1,93604,37.458367,-119.345011,1,52.2,52.2,1,71,4138
1,93606,36.798882,-120.019511,46,110.0,4874.8,1,81,2403
1,93624,36.397745,-120.119911,62,96.75,6125.4,1,92,5016
1,93626,37.027663,-119.69056,10,98.5,1058.25,1,74,5184
1,93630,36.727418,-120.123526,6,85.35,489.45,1,75,4694
1,93637,36.902954,-120.194274,40,101.3,4113.1,1,70,2576
1,93638,37.004068,-119.930027,1,69.55,69.55,1,76,3042
1,93640,36.687292,-120.437354,58,103.25,6017.65,1,74,6105
1,93641,36.696759,-119.024051,70,104.0,7250.15,1,80,4544
1,93647,36.600185,-119.175655,2,86.2,178.7,1,95,2969
1,93650,36.841655,-119.797113,21,111.2,2317.1,1,89,4123
1,93660,36.600193,-120.153393,16,89.45,1430.25,1,73,3696
1,93662,36.545322,-119.642281,7,95.6,644.35,1,83,3265
1,93665,36.959731,-120.653519,60,90.95,5453.4,1,76,4111
1,93667,36.993666,-119.348267,50,108.55,5610.7,1,82,4274
1,93675,36.719141,-119.202677,4,78.85,292.8,1,72,5301
1,93703,36.768774,-119.762633,1,44.4,44.4,1,89,3522
1,93706,36.654614,-119.903674,55,100.0,5509.3,1,83,5679
1,93711,36.833002,-119.82947,12,19.8,229.6,1,94,2653
1,93721,36.732694,-119.783786,1,89.9,89.9,1,80,5951
1,93920,36.092975,-121.549826,62,100.15,6413.65,1,91,5600
1,93923,36.460611,-121.852507,1,50.8,50.8,1,85,3718
1,93928,35.930782,-121.189757,20,73.65,1463.5,1,95,5849
1,93930,36.220761,-120.980777,3,95.1,307.4,1,77,5861
1,93932,35.989792,-121.055933,22,94.65,2104.55,1,85,3665
1,93933,36.689582,-121.758398,4,80.6,319.15,1,86,3080
1,93953,36.587497,-121.944815,59,85.55,5084.65,1,80,6304
1,94002,37.509366,-122.306132,60,50.8,3027.4,1,67,4941
1,94014,37.691561,-122.445202,15,105.1,1582.75,1,84,2122
1,94021,37.266388,-122.26308,10,110.1,1043.3,1,76,5803
1,94024,37.352911,-122.093002,6,83.9,497.55,1,97,3962
1,94040,37.380662,-122.086022,63,100.55,6215.35,1,79,5413
1,94043,37.419725,-122.062947,50,103.85,5017.9,1,100,5812
1,94060,37.22565,-122.297533,1,24.6,24.6,1,76,5768
1,94066,37.624436,-122.430661,12,98.9,1120.95,1,71,5559
1,94080,37.654436,-122.426468,9,98.3,923.5,1,81,2954
1,94086,37.378541,-122.020456,17,93.85,1625.65,1,93,4940
1,94102,37.7795,-122.419233,9,100.5,918.6,1,70,4038
1,94108,37.791998,-122.408653,10,72.85,688.65,1,99,3189
1,94114,37.758085,-122.434801,1,73.55,73.55,1,94,4369
1,94130,37.820894,-122.369725,3,79.4,205.05,1,91,3501
1,94131,37.746699,-122.442833,13,81.15,952.3,1,79,4806
1,94304,37.386978,-122.177746,4,84.6,360.1,1,83,2467
1,94402,37.556634,-122.317723,6,79.05,434.5,1,99,3263
1,94509,37.980057,-121.801599,3,74.4,215.8,1,97,2054
1,94512,38.140719,-121.838298,35,99.05,3395.8,1,82,2074
1,94514,37.83323,-121.601461,2,44.95,85.15,1,84,5900
1,94520,38.013825,-122.039144,1,44.7,44.7,1,74,3700
1,94538,37.505768,-121.962472,1,45.7,45.7,1,72,3571
1,94539,37.516791,-121.899117,8,100.3,832.35,1,74,5084
1,94541,37.674002,-122.076796,7,19.25,112.3,1,82,4489
1,94545,37.62984,-122.120843,2,96.0,174.8,1,83,3391
1,94546,37.708327,-122.083473,1,90.55,90.55,1,72,2627
1,94550,37.571748,-121.659562,44,30.35,1359.7,1,96,4829
1,94553,38.014457,-122.115432,71,108.05,7532.15,1,81,5200
1,94555,37.555473,-122.080312,1,69.9,69.9,1,84,5367
1,94558,38.489789,-122.27011,62,103.75,6383.35,1,91,5052
1,94564,37.996462,-122.293716,1,86.6,86.6,1,93,5228
1,94566,37.633361,-121.862395,33,80.6,2656.5,1,72,3601
1,94579,37.687264,-122.15728,35,85.3,2917.5,1,88,2455
1,94580,37.676249,-122.132415,34,70.0,2416.1,1,93,2318
1,94583,37.766556,-121.976784,4,94.3,424.45,1,99,5419
1,94587,37.59485,-122.051521,7,95.35,660.9,1,92,3077
1,94588,37.685052,-121.912061,27,75.5,1893.95,1,65,2377
1,94595,37.862128,-122.075197,18,90.1,1612.75,1,80,4260
1,94596,37.900662,-122.052782,2,68.95,119.75,1,84,5225
1,94598,37.916648,-122.008483,32,99.55,3204.65,1,71,5026
1,94606,37.792489,-122.244314,18,57.45,990.85,1,84,2989
1,94607,37.80707,-122.297401,12,53.65,696.35,1,78,2595
1,94704,37.871416,-122.246597,8,100.6,819.4,1,90,5906
1,94706,37.890274,-122.295192,26,83.75,2070.6,1,84,2404
1,94707,37.897753,-122.279391,3,88.3,273.75,1,68,4486
1,94710,37.872902,-122.303708,8,92.1,729.95,1,81,5662
1,94903,38.018065,-122.546024,38,79.45,3013.05,1,85,2405
1,94904,37.946617,-122.563571,14,90.45,1266.1,1,96,4777
1,94923,38.377165,-123.037957,32,69.75,2347.9,1,96,2356
1,94931,38.326215,-122.718742,1,19.65,19.65,1,99,5881
1,94933,38.010092,-122.689442,12,43.65,526.95,1,74,2437
1,94939,37.937082,-122.532369,5,39.5,210.75,1,93,2863
1,94940,38.129308,-122.834815,40,97.1,3706.95,1,67,3099
1,94945,38.135897,-122.563683,5,80.0,412.5,1,97,3937
1,94946,38.065359,-122.665566,10,84.7,832.05,1,69,5686
1,94947,38.112166,-122.634384,2,89.55,185.55,1,73,3851
1,94949,38.067204,-122.524004,23,90.6,1943.2,1,82,4359
1,94960,37.99272,-122.575026,23,90.05,2169.8,1,67,4650
1,94965,37.848641,-122.515692,49,99.05,4853.75,1,100,5157
1,94971,38.240769,-122.901041,2,69.75,144.55,1,68,5667
1,94972,38.339996,-122.935056,2,49.05,91.1,1,98,2960
1,95002,37.449537,-121.994813,7,98.05,713.0,1,86,2561
1,95006,37.171727,-122.142961,41,114.5,4527.45,1,80,3038
1,95017,37.114335,-122.237162,2,80.95,171.15,1,65,3533
1,95019,36.936228,-121.785559,13,74.3,940.35,1,97,2995
1,95020,37.03889,-121.528955,11,89.7,1047.7,1,89,2202
1,95030,37.222842,-121.988727,17,100.45,1622.45,1,87,5508
1,95046,37.084697,-121.606417,25,90.4,2178.6,1,100,5801
1,95062,36.974575,-121.991149,3,56.15,168.15,1,83,2539
1,95112,37.343827,-121.883119,4,94.4,387.2,1,74,4249
1,95116,37.350284,-121.852855,37,78.95,2839.65,1,97,3982
1,95125,37.294926,-121.894763,19,44.85,893.55,1,72,5182
1,95128,37.316146,-121.936285,39,105.65,4284.8,1,96,4687
1,95129,37.305622,-122.000887,7,74.65,544.55,1,75,3331
1,95134,37.42765,-121.945416,14,64.7,941.0,1,86,4049
1,95135,37.28682,-121.723877,11,104.05,1133.65,1,82,4553
1,95209,38.044523,-121.348048,1,35.55,35.55,1,71,3958
1,95219,38.029729,-121.387999,2,95.15,196.9,1,82,2414
1,95220,38.200231,-121.235034,13,96.65,1162.85,1,75,5295
1,95232,38.358464,-120.579304,3,80.4,224.05,1,89,3834
1,95236,38.047746,-121.030499,1,31.35,31.35,1,85,3605
1,95240,38.123544,-121.159078,12,89.75,1052.4,1,97,5671
1,95252,38.156971,-120.849231,60,94.4,5610.25,1,99,4990
1,95255,38.41935,-120.469545,1,19.85,19.85,1,66,3874
1,95301,37.321233,-120.656354,6,109.9,669.45,1,69,5750
1,95305,37.818589,-120.256995,15,101.35,1553.95,1,99,3025
1,95310,38.085839,-120.37855,21,60.05,1236.15,1,70,4716
1,95315,37.422961,-120.765493,1,60.15,60.15,1,91,4611
1,95323,37.605926,-120.69955,7,90.45,593.45,1,98,5356
1,95335,38.109125,-120.078597,53,94.25,4867.95,1,96,5414
1,95338,37.526791,-119.99437,1,74.9,74.9,1,84,2548
1,95346,38.121601,-120.133915,1,80.25,80.25,1,69,2502
1,95350,37.671806,-121.007575,17,69.0,1149.65,1,77,3368
1,95351,37.621458,-121.012295,11,66.35,740.8,1,91,2860
1,95356,37.716186,-121.025836,19,86.0,1532.45,1,98,4857
1,95357,37.670526,-120.877572,3,80.3,250.05,1,72,3212
1,95361,37.785033,-120.776141,24,90.55,2282.55,1,67,5927
1,95367,37.734971,-120.954271,2,75.9,143.35,1,86,2101
1,95368,37.713152,-121.08739,1,45.85,45.85,1,73,3706
1,95369,37.521708,-120.426843,16,49.95,810.2,1,78,4840
1,95382,37.529656,-120.854357,34,78.3,2564.3,1,77,2777
1,95387,37.546007,-121.28257,3,76.95,228.4,1,92,4428
1,95389,37.704267,-119.607001,16,96.15,1529.2,1,96,5913
1,95407,38.394091,-122.739814,1,45.3,45.3,1,66,4568
1,95409,38.468893,-122.580539,15,19.4,289.3,1,87,5379
1,95417,39.710591,-123.682799,11,90.15,987.95,1,66,5250
1,95420,39.361283,-123.784599,1,45.05,45.05,1,98,4094
1,95422,38.965804,-122.631779,1,75.8,75.8,1,70,3940
1,95425,38.801936,-122.938935,7,79.3,523.15,1,69,3830
1,95427,39.239818,-123.565432,2,30.9,59.05,1,98,2860
1,95431,38.348884,-122.51699,46,95.25,4424.2,1,90,3180
1,95439,38.493888,-122.777141,68,89.6,6127.6,1,69,5651
1,95445,38.848082,-123.50608,59,110.15,6448.05,1,97,4601
1,95464,39.12334,-122.838198,7,89.5,676.7,1,89,3077
1,95471,38.522328,-122.97932,8,75.0,632.95,1,80,2587
1,95482,39.134075,-123.23422,6,44.75,270.95,1,78,2087
1,95493,39.222323,-122.985488,11,44.05,483.7,1,84,3200
1,95511,40.166028,-123.584144,15,85.6,1345.55,1,83,4981
1,95519,40.965011,-124.015255,70,115.55,8127.6,1,87,4838
1,95524,40.825486,-124.049485,16,86.6,1281.0,1,81,2508
1,95525,40.94338,-123.831799,18,85.2,1553.9,1,77,3326
1,95526,40.372532,-123.525626,34,97.65,3207.55,1,87,3979
1,95531,41.701223,-124.003393,47,109.55,5124.55,1,90,5863
1,95536,40.4785,-124.301372,39,89.55,3474.45,1,65,3849
1,95545,40.342928,-124.063329,1,19.45,19.45,1,78,5687
1,95550,40.7666,-123.80458,4,20.35,76.35,1,81,4133
1,95551,40.665952,-124.240051,1,69.25,69.25,1,75,4371
1,95553,40.210895,-123.86,59,99.5,5961.1,1,76,6098
1,95562,40.485849,-124.163234,1,25.2,25.2,1,67,5688
1,95563,40.89866,-123.539754,2,45.0,96.45,1,93,5704
1,95567,41.950683,-124.097094,1,20.15,20.15,1,70,4103
1,95568,41.444606,-123.471895,66,105.0,7133.25,1,96,5723
1,95570,41.162295,-124.027381,3,54.7,169.45,1,66,3335
1,95589,40.053159,-123.995867,14,87.25,1258.6,1,78,4786
1,95601,38.431407,-120.8421,10,79.95,857.2,1,68,5640
1,95608,38.626128,-121.328011,18,88.35,1639.3,1,96,5727
1,95616,38.508735,-121.678813,9,94.75,889.9,1,83,2893
1,95618,38.544002,-121.685559,13,95.05,1290.0,1,97,2230
1,95619,38.683605,-120.811852,4,78.45,330.05,1,67,5048
1,95620,38.392821,-121.799917,4,70.2,237.95,1,92,5094
1,95624,38.434138,-121.30587,59,41.05,2452.7,1,70,4324
1,95625,38.349195,-121.902943,10,85.6,813.85,1,70,5146
1,95630,38.672638,-121.147403,1,79.2,79.2,1,76,4363
1,95635,38.921333,-120.897718,5,70.0,347.4,1,77,2673
1,95642,38.336216,-120.76901,1,49.95,49.95,1,71,2041
1,95645,38.875508,-121.765866,22,69.25,1554.0,1,85,2159
1,95653,38.674276,-121.961866,34,94.25,3217.55,1,88,3369
1,95662,38.689174,-121.218435,41,73.0,3001.2,1,86,2041
1,95663,38.859093,-121.182872,64,100.05,6254.2,1,69,5452
1,95668,38.833554,-121.498102,4,99.8,442.85,1,89,2268
1,95669,38.489273,-120.891614,18,35.0,553.0,1,76,2649
1,95673,38.688764,-121.457596,1,76.0,76.0,1,72,2567
1,95681,38.984756,-121.345074,2,93.85,170.85,1,72,4193
1,95683,38.470423,-121.114897,15,84.3,1308.4,1,86,4003
1,95692,39.043387,-121.409837,9,84.4,732.5,1,83,5745
1,95694,38.578604,-122.024579,15,101.1,1504.05,1,97,2055
1,95713,39.084645,-120.894014,1,50.45,50.45,1,68,2928
1,95722,39.003358,-121.022539,12,99.95,1132.75,1,80,5598
1,95728,39.279068,-120.414275,2,91.4,193.6,1,80,5100
1,95742,38.591134,-121.161585,5,75.55,349.65,1,97,4028
1,95815,38.608405,-121.449942,4,80.8,332.45,1,72,5436
1,95824,38.517295,-121.439819,16,100.0,1534.75,1,68,3794
1,95826,38.542532,-121.378826,1,20.55,20.55,1,87,5636
1,95828,38.486938,-121.395805,5,85.3,424.15,1,81,2264
1,95831,38.494832,-121.529447,4,70.4,281.0,1,88,4494
1,95838,38.646096,-121.442433,37,98.8,3475.55,1,82,3066
1,95843,38.715498,-121.363411,13,74.4,896.75,1,89,3687
1,95864,38.585826,-121.376263,24,98.75,2407.3,1,85,4016
1,95912,38.982373,-122.047751,61,106.0,6547.7,1,92,4334
1,95914,39.396585,-121.38029,41,104.7,4346.4,1,84,3316
1,95923,40.171312,-121.120605,22,96.7,2082.95,1,93,4458
1,95925,39.461768,-121.195825,2,55.05,102.75,1,81,5855
1,95935,39.381174,-121.21191,19,88.2,1775.8,1,69,5683
1,95937,38.931425,-121.946081,8,19.75,145.0,1,89,2247
1,95942,40.077028,-121.494168,15,75.65,1146.65,1,96,2099
1,95949,39.099204,-121.137962,1,74.7,74.7,1,88,3348
1,95954,39.933852,-121.584371,17,76.65,1313.55,1,87,3182
1,95959,39.333737,-120.858667,1,25.8,25.8,1,97,3884
1,95966,39.473896,-121.415927,2,42.6,72.4,1,79,4648
1,95970,39.424957,-122.039307,29,68.85,1970.5,1,79,5449
1,95981,39.58458,-121.093256,2,90.0,190.05,1,99,3902
1,95984,40.022184,-121.062384,14,75.35,1025.95,1,71,4995
1,95993,39.075694,-121.70606,8,100.85,819.55,1,97,3849
1,96007,40.448632,-122.306657,5,69.95,330.15,1,81,2969
1,96011,41.096569,-121.879082,63,107.5,6873.75,1,96,6144
1,96014,41.388397,-122.794636,1,45.85,45.85,1,94,5930
1,96021,39.913777,-122.289984,53,106.1,5769.75,1,94,4471
1,96022,40.336392,-122.448533,1,91.7,91.7,1,71,4319
1,96024,40.586588,-122.903677,16,95.6,1555.65,1,96,5915
1,96028,41.017282,-121.468945,1,74.95,74.95,1,82,2591
1,96032,41.5837,-122.935922,10,95.35,898.35,1,75,5353
1,96041,40.547857,-123.187265,3,45.0,127.1,1,77,4145
1,96047,40.524535,-122.647172,66,99.5,6710.5,1,73,4001
1,96050,41.816595,-122.948287,17,98.6,1704.95,1,91,5160
